Names/Year,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
S Chanderpaul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[49, 49]","[260, 309]","[515, 824]","[599, 1423]","[158, 1581]","[960, 2541]","[104, 2645]","[448, 3093]","[624, 3717]","[246, 3963]","[668, 4631]","[650, 5281]","[948, 6229]","[912, 7141]","[578, 7719]","[531, 8250]","[398, 8648]","[130, 8778]",0,0,0,0,0,0,0,0
Yuvraj Singh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[260, 260]","[238, 498]","[659, 1157]","[600, 1757]","[841, 2598]","[839, 3437]","[849, 4286]","[1287, 5573]","[893, 6466]","[783, 7249]","[349, 7598]","[453, 8051]","[2, 8053]","[276, 8329]",0,0,0,"[372, 8701]",0,0
DL Haynes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[148, 148]","[298, 446]","[171, 617]","[294, 911]","[131, 1042]","[520, 1562]","[813, 2375]","[1232, 3607]","[416, 4023]","[562, 4585]","[746, 5331]","[1007, 6338]","[283, 6621]","[440, 7061]","[645, 7706]","[674, 8380]","[268, 8648]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS Atapattu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[8, 8]",0,"[35, 43]",0,0,0,"[84, 127]","[879, 1006]","[744, 1750]","[787, 2537]","[942, 3479]","[1084, 4563]","[1192, 5755]","[812, 6567]","[729, 7296]","[498, 7794]","[592, 8386]","[143, 8529]",0,0,0,0,0,0,0,0,0,0,0,0
ME Waugh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[50, 50]","[81, 131]","[89, 220]","[257, 477]","[381, 858]","[745, 1603]","[939, 2542]","[468, 3010]","[1059, 4069]","[676, 4745]","[757, 5502]","[1468, 6970]","[595, 7565]","[809, 8374]","[126, 8500]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V Sehwag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1, 1]","[19, 20]","[439, 459]","[1130, 1589]","[871, 2460]","[671, 3131]","[1017, 4148]","[608, 4756]","[475, 5231]","[893, 6124]","[810, 6934]","[446, 7380]","[645, 8025]","[217, 8242]","[31, 8273]",0,0,0,0,0,0
HH Gibbs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[83, 83]","[149, 232]","[60, 292]","[805, 1097]","[576, 1673]","[846, 2519]","[1310, 3829]","[693, 4522]","[398, 4920]","[726, 5646]","[696, 6342]","[880, 7222]","[413, 7635]","[425, 8060]","[34, 8094]",0,0,0,0,0,0,0,0,0
Shahid Afridi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[288, 288]","[867, 1155]","[449, 1604]","[465, 2069]","[604, 2673]","[455, 3128]","[743, 3871]","[16, 3887]","[238, 4125]","[640, 4765]","[115, 4880]","[359, 5239]","[278, 5517]","[313, 5830]","[601, 6431]","[462, 6893]","[182, 7075]","[441, 7516]","[354, 7870]","[194, 8064]",0,0,0,0
SP Fleming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[348, 348]","[514, 862]","[708, 1570]","[423, 1993]","[806, 2799]","[332, 3131]","[577, 3708]","[457, 4165]","[772, 4937]","[681, 5618]","[921, 6539]","[439, 6978]","[390, 7368]","[669, 8037]",0,0,0,0,0,0,0,0,0,0,0,0
LRPL Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[189, 189]","[663, 852]","[465, 1317]","[631, 1948]","[676, 2624]","[561, 3185]","[223, 3408]","[510, 3918]","[662, 4580]","[1046, 5626]","[200, 5826]","[968, 6794]","[639, 7433]","[593, 8026]"
